Datum;Titel;Id-Nr;Mitzeichnungen;Forum;Begründung;Seite;Forumauswertung
22.06.2010;Rehabilitierung von Bürgern der ehemaligen DDR - Politisch Verfolgte von 1945 bis 1949;553;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_15/Petition_553.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_15/Petition_553.nc.html;
16.10.2009;Kreditwesen - Verkauf von Grundschulden und Darlehensforderungen;558;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_23/Petition_558.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_23/Petition_558.nc.html;
01.07.2010;Gesundheitswesen - Passive Sterbehilfe;559;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_19/Petition_559.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_19/Petition_559.nc.html;
30.06.2010;Pflegeversicherung - Vollstationäre Einrichtungen der Behindertenhilfe;560;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_21/Petition_560.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_21/Petition_560.nc.html;
02.06.2010;Aufenthaltsgesetz - Deutsche Sprachkentnisse für nachziehende ausländische Ehegatten;572;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_12/_27/Petition_572.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_12/_27/Petition_572.nc.html;
12.07.2012;Biotechnologie - Gentechnik - Anbau und Neuzulassung gentechnisch veränderter Organismen;577;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_12/_17/Petition_577.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_12/_17/Petition_577.nc.html;
05.06.2014;Insolvenzrecht - Ausländische Konzerne;579;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_12/_28/Petition_579.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_12/_28/Petition_579.nc.html;
03.03.2010;Wirtschaftspolitik - Ottokraftstoff mit 5 v. H. Ethanolbeimischung (E5);584;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_01/_07/Petition_584.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_01/_07/Petition_584.nc.html;
09.11.2011;Heilberufe - Gesundheitsfonds;585;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_01/_11/Petition_585.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_01/_11/Petition_585.nc.html;
20.10.2011;Staatsangehörigkeit - Doppelte Staatsbürgerschaft für in Deutschland geborenen Kinder;589;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_01/_20/Petition_589.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_01/_20/Petition_589.nc.html;
17.01.2011;Regelungen zur Altersrente - Abschlagsfreier Bezug der Rente für schwerbehinderte Menschen;592;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_01/_18/Petition_592.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_01/_18/Petition_592.nc.html;
31.01.2013;Energiewirtschaft - Erhaltung, Modernisierung und Ausbau der Kraft-Wärme-Kopplung (KWK);594;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2007/_11/_08/Petition_594.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2007/_11/_08/Petition_594.nc.html;
16.04.2012;Prozesskostenhilfe - Änderungen bzw. Verschärfungen für die Bewilligung;600;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_02/_06/Petition_600.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_02/_06/Petition_600.nc.html;
13.02.2012;Schuldrecht - Überschuldete Bundesbürger;607;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_03/_03/Petition_607.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_03/_03/Petition_607.nc.html;
09.03.2010;Gesetzliche Krankenversicherung - Leistungen - - Gesetzliche Krankenversicherung: Krankenzusatzversicherung für behinderte Menschen;611;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_03/_03/Petition_611.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_03/_03/Petition_611.nc.html;
13.02.2012;Umsatzsteuer - Ermäßigter Steuersatz für Getränke;613;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_03/_17/Petition_613.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_03/_17/Petition_613.nc.html;
01.07.2010;Wahlen - Verbot von Wahlplakaten;615;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_01/_17/Petition_615.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_01/_17/Petition_615.nc.html;
15.11.2010;Arzneimittelwesen - Antrag auf Zulassung von Arzneimitteln;618;0;0 Beiträge;https://epetitionen.bundestag.de/petitionen/_2008/_03/_25/Petition_618.abschlussbegruendungpdf.pdf;https://epetitionen.bundestag.de/petitionen/_2008/_03/_25/Petition_618.nc.html;
